Ordernumber,Saleschannel,Orderdate,Shipdate,Deliverydate,Currencycode,Salesteamid,SalesteamName,Storid,Statename,Statecode,Householdincome,Population,Cityname,Productid,Productname,Orderquantity,DiscountApplied,Unitprice,UnitCost,Revenue,Profit,,
SO - 0007332,Wholesale,2020-10-03,2020-10-18,2020-10-20,USD,27,Shawn Torres,119,Florida,FL,73446,178590,Fort Lauderdale,16,Stemware,1,5%,5889.3,4711.44,294.47,-4416.98,,NOTE DIBAWAH SINI
SO - 0006093,Distributor,2020-05-12,2020-05-25,2020-06-01,USD,24,Roy Rice,312,Texas,TX,51563,183887,Brownsville,21,Floral,3,0.05,6177.4,5065.47,926.61,-4138.86,,
SO - 0006474,Distributor,2020-06-25,2020-07-14,2020-07-23,USD,21,Samuel Fowler,11,Arizona,AZ,525610,1563025,Phoenix,17,Furniture Cushions,3,5%,6217.6,4974.08,932.64,-4041.44,,
SO - 0007252,Online,2020-09-23,2020-10-06,2020-10-09,USD,16,Anthony Berry,136,Florida,FL,74388,189907,Tallahassee,6,Computers,1,7.50%,5386.8,4417.18,404.01,-4013.17,,
SO - 0005472,Online,2020-02-25,2020-03-13,2020-03-23,USD,14,Paul Holmes,60,California,CA,39378,153266,Pomona,10,Blankets,2,5%,5319.8,4521.83,531.98,-3989.85,,
SO - 0007556,Wholesale,2020-10-29,2020-11-04,2020-11-14,USD,25,Patrick Graham,230,North Carolina,NC,305488,827097,Charlotte,27,Wreaths,1,7.50%,5969.7,4417.58,447.73,-3969.85,,
SO - 0007447,In-Store,2020-10-16,2020-10-23,2020-10-28,USD,3,Jerry Green,15,Arizona,AZ,206342,531641,Tucson,42,Bean Bags,1,7.50%,5071.9,4311.12,380.39,-3930.72,,
SO - 0007417,In-Store,2020-10-13,2020-10-17,2020-10-20,USD,1,Adam Hernandez,80,California,CA,92440,305658,Stockton,36,Clocks,2,5%,5440.4,4461.13,544.04,-3917.09,,
SO - 0007260,In-Store,2020-09-24,2020-10-03,2020-10-04,USD,6,Joshua Bennett,325,Texas,TX,46952,140806,Killeen,7,Dinnerware,1,10%,5219.3,4332.02,521.93,-3810.09,,
SO - 0005230,In-Store,2020-01-30,2020-02-15,2020-02-16,USD,1,Adam Hernandez,245,New Jersey,NJ,92675,281944,Newark,13,Bakeware,3,7.50%,6244.4,5182.85,1404.99,-3777.86,,
SO - 0007888,Online,2020-12-06,2020-12-28,2020-12-31,USD,15,Roger Alexander,61,California,CA,55240,175236,Rancho Cucamonga,20,Bar Tools,3,7.50%,6425.3,5204.49,1445.69,-3758.8,,
SO - 0005382,In-Store,2020-02-18,2020-03-16,2020-03-20,USD,6,Joshua Bennett,142,Georgia,GA,72760,200579,Columbus,33,Outdoor Decor,2,7.50%,5956.3,4467.23,893.45,-3573.78,,
SO - 0006577,In-Store,2020-07-07,2020-08-01,2020-08-10,USD,11,Joshua Little,359,Washington,WA,42233,126952,Kent,15,Outdoor Furniture,5,5%,6478.9,5183.12,1619.73,-3563.4,,
SO - 0006486,In-Store,2020-06-26,2020-07-05,2020-07-11,USD,2,Keith Griffin,221,Minnesota,MN,112988,300851,St. Paul,24,Wall Frames,3,5%,6137.2,4480.16,920.58,-3559.58,,
SO - 0005227,Online,2020-01-29,2020-02-06,2020-02-11,USD,12,Carl Nguyen,138,Florida,FL,41474,106779,West Palm Beach,12,Dining Furniture,2,5%,6056.8,4118.62,605.68,-3512.94,,
SO - 0006506,Wholesale,2020-06-29,2020-07-19,2020-07-21,USD,28,Carlos Miller,150,Idaho,ID,86916,218281,Boise City,35,Table Linens,3,5%,6157.3,4433.26,923.6,-3509.66,,
SO - 0005339,Distributor,2020-02-12,2020-02-29,2020-03-06,USD,24,Roy Rice,316,Texas,TX,477249,1300092,Dallas,17,Furniture Cushions,1,0.05,5460.5,3767.75,273.03,-3494.72,,
SO - 0006588,In-Store,2020-07-08,2020-08-04,2020-08-13,USD,7,Shawn Cook,136,Florida,FL,74388,189907,Tallahassee,23,Accessories,1,5%,5614.6,3761.78,280.73,-3481.05,,
SO - 0007193,In-Store,2020-09-18,2020-10-04,2020-10-07,USD,7,Shawn Cook,354,Virginia,VA,87045,246393,Norfolk,35,Table Linens,2,7.50%,5688.3,4323.11,853.25,-3469.86,,
SO - 0007603,Online,2020-11-02,2020-11-08,2020-11-09,USD,19,Nicholas Cunningham,346,Utah,UT,75330,192672,Salt Lake City,43,Festive,4,7.50%,6472.2,5371.93,1941.66,-3430.27,,
SO - 0005758,In-Store,2020-04-02,2020-04-26,2020-05-01,USD,6,Joshua Bennett,183,Indiana,IN,51271,119943,Evansville,13,Bakeware,2,7.50%,5266.2,4212.96,789.93,-3423.03,,
SO - 0004994,Distributor,2020-01-05,2020-02-01,2020-02-02,USD,24,Roy Rice,218,Michigan,MI,53493,135358,Warren,43,Festive,4,0.05,6539.2,4708.22,1307.84,-3400.38,,
SO - 0007273,In-Store,2020-09-26,2020-10-20,2020-10-29,USD,1,Adam Hernandez,127,Florida,FL,31003,113187,Miami Gardens,23,Accessories,3,5%,6237.7,4304.01,935.66,-3368.36,,
SO - 0006533,In-Store,2020-07-02,2020-07-11,2020-07-17,USD,5,Stephen Payne,179,Illinois,IL,56788,152861,Worth (Township),25,TV and video,3,7.50%,6378.4,4783.8,1435.14,-3348.66,,
SO - 0005378,Distributor,2020-02-17,2020-03-08,2020-03-14,USD,23,Douglas Tucker,332,Texas,TX,43214,132950,Midland,5,Bathroom Furniture,3,10%,6056.8,5148.28,1817.04,-3331.24,,
SO - 0007062,Online,2020-09-02,2020-09-07,2020-09-16,USD,17,Frank Brown,327,Texas,TX,38430,104039,Lewisville,24,Wall Frames,2,7.50%,5922.8,4205.19,888.42,-3316.77,,
SO - 0005482,Online,2020-02-26,2020-02-29,2020-03-08,USD,20,Anthony Torres,190,Indiana,IN,38889,103365,Warren,14,Mirrors,1,20%,6023.3,4517.48,1204.66,-3312.82,,
SO - 0005483,Online,2020-02-26,2020-03-17,2020-03-23,USD,18,Shawn Wallace,319,Texas,TX,273457,833319,Fort Worth,15,Outdoor Furniture,1,7.50%,5829,3730.56,437.18,-3293.39,,
SO - 0006448,In-Store,2020-06-21,2020-07-17,2020-07-23,USD,6,Joshua Bennett,42,California,CA,74460,201899,Huntington Beach,46,Sculptures,1,10%,6190.8,3900.2,619.08,-3281.12,,
SO - 0005882,Online,2020-04-16,2020-04-29,2020-05-02,USD,13,Todd Roberts,295,Pennsylvania,PA,132468,304391,Pittsburgh,11,Ornaments,1,7.50%,6344.9,3743.49,475.87,-3267.62,,
SO - 0005121,In-Store,2020-01-16,2020-01-21,2020-01-23,USD,2,Keith Griffin,48,California,CA,1342761,3971883,Los Angeles,1,Cookware,2,7.50%,5681.6,4090.75,852.24,-3238.51,,
SO - 0005034,Online,2020-01-08,2020-01-20,2020-01-29,USD,12,Carl Nguyen,138,Florida,FL,41474,106779,West Palm Beach,16,Stemware,3,7.50%,5822.3,4541.39,1310.02,-3231.38,,
SO - 0005316,In-Store,2020-02-10,2020-02-17,2020-02-27,USD,2,Keith Griffin,223,Missouri,MO,48313,117255,Independence,17,Furniture Cushions,4,5%,6150.6,4428.43,1230.12,-3198.31,,
SO - 0005808,Online,2020-04-06,2020-04-09,2020-04-18,USD,12,Carl Nguyen,165,Illinois,IL,43510,118844,Milton,39,Floor Lamps,4,7.50%,5902.7,4958.27,1770.81,-3187.46,,
SO - 0005434,Distributor,2020-02-22,2020-03-05,2020-03-06,USD,25,Patrick Graham,26,California,CA,40908,113204,Costa Mesa,3,Table Lamps,3,5%,6344.9,4124.19,951.74,-3172.45,,
SO - 0005262,Online,2020-02-03,2020-02-07,2020-02-16,USD,20,Anthony Torres,262,New York,NY,110549,258071,Buffalo,42,Bean Bags,4,5%,5098.7,4180.93,1019.74,-3161.19,,
SO - 0005820,Online,2020-04-07,2020-05-04,2020-05-14,USD,13,Todd Roberts,103,Connecticut,CT,50367,147629,Bridgeport,38,Wardrobes,1,5%,3939.6,3348.66,196.98,-3151.68,,
SO - 0007211,In-Store,2020-09-20,2020-10-16,2020-10-19,USD,2,Keith Griffin,366,Wisconsin,WI,104087,248951,Madison,4,Serveware,2,5%,6291.3,3774.78,629.13,-3145.65,,
SO - 0004982,In-Store,2020-01-03,2020-01-24,2020-02-01,USD,7,Shawn Cook,90,Colorado,CO,44615,115368,Arvada,33,Outdoor Decor,3,5%,6123.8,4041.71,918.57,-3123.14,,
SO - 0007665,In-Store,2020-11-10,2020-11-29,2020-12-09,USD,1,Adam Hernandez,133,Florida,FL,59221,179413,Port St. Lucie,23,Accessories,6,5%,6365,5028.35,1909.5,-3118.85,,
SO - 0006451,In-Store,2020-06-22,2020-07-19,2020-07-22,USD,5,Stephen Payne,256,Nevada,NV,70748,183937,Spring Valley,3,Table Lamps,5,5%,6076.9,4618.44,1519.23,-3099.22,,
SO - 0005594,Wholesale,2020-03-11,2020-03-24,2020-03-25,USD,27,Shawn Torres,168,Illinois,IL,37478,106229,Niles (Township),28,Phones,1,5%,6177.4,3397.57,308.87,-3088.7,,
SO - 0006782,In-Store,2020-07-29,2020-08-02,2020-08-06,USD,9,Joshua Ryan,336,Texas,TX,103937,283558,Plano,42,Bean Bags,6,5%,5815.6,4826.95,1744.68,-3082.27,,
SO - 0006976,In-Store,2020-08-23,2020-09-08,2020-09-16,USD,3,Jerry Green,17,California,CA,33718,110542,Antioch,26,Candles,1,5%,5293,3334.59,264.65,-3069.94,,
SO - 0006114,Wholesale,2020-05-15,2020-06-09,2020-06-10,USD,26,Donald Reynolds,15,Arizona,AZ,206342,531641,Tucson,1,Cookware,1,7.50%,3953,3360.05,296.48,-3063.58,,
SO - 0007481,In-Store,2020-10-21,2020-11-08,2020-11-11,USD,11,Joshua Little,143,Georgia,GA,57025,153515,Macon,8,Cocktail Glasses,1,7.50%,3953,3360.05,296.48,-3063.58,,
SO - 0006715,Distributor,2020-07-21,2020-08-08,2020-08-09,USD,24,Roy Rice,40,California,CA,71498,201020,Glendale,4,Serveware,1,0.08,3912.8,3325.88,293.46,-3032.42,,
SO - 0006853,Distributor,2020-08-08,2020-08-10,2020-08-16,USD,25,Patrick Graham,175,Illinois,IL,49006,132162,Schaumburg (Township),21,Floral,1,7.50%,3912.8,3325.88,293.46,-3032.42,,
SO - 0005108,In-Store,2020-01-15,2020-01-31,2020-02-01,USD,11,Joshua Little,144,Georgia,GA,43058,105330,Sandy Springs,20,Bar Tools,1,5%,5949.6,3272.28,297.48,-2974.8,,
SO - 0005677,Online,2020-03-23,2020-04-07,2020-04-09,USD,13,Todd Roberts,241,New Hampshire,NH,45145,110229,Manchester,15,Outdoor Furniture,4,7.50%,5587.8,4637.87,1676.34,-2961.53,,
SO - 0007872,Online,2020-12-04,2020-12-23,2020-12-25,USD,19,Nicholas Cunningham,246,New Jersey,NJ,43037,147754,Paterson,39,Floor Lamps,2,7.50%,5922.8,3849.82,888.42,-2961.4,,
SO - 0007725,In-Store,2020-11-16,2020-12-01,2020-12-09,USD,9,Joshua Ryan,247,New Jersey,NJ,33375,102105,Woodbridge (Township),19,Vanities,2,5%,5688.3,3526.75,568.83,-2957.92,,
SO - 0005685,In-Store,2020-03-24,2020-04-20,2020-04-30,USD,7,Shawn Cook,197,Kansas,KS,52711,127265,Topeka,5,Bathroom Furniture,1,5%,6271.2,3261.02,313.56,-2947.46,,
SO - 0006377,In-Store,2020-06-13,2020-06-26,2020-06-29,USD,5,Stephen Payne,131,Florida,FL,56171,166611,Pembroke Pines,4,Serveware,2,10%,5601.2,4032.86,1120.24,-2912.62,,
SO - 0006857,Distributor,2020-08-08,2020-09-01,2020-09-09,USD,24,Roy Rice,272,New York,NY,85741,209802,Rochester,10,Blankets,2,0.10,5494,4010.62,1098.8,-2911.82,,
SO - 0006166,Wholesale,2020-05-21,2020-05-28,2020-06-01,USD,26,Donald Reynolds,208,Massachusetts,MA,38489,110699,Lowell,25,TV and video,1,40%,6458.8,5489.98,2583.52,-2906.46,,
SO - 0005410,In-Store,2020-02-20,2020-03-07,2020-03-16,USD,7,Shawn Cook,16,California,CA,99670,350742,Anaheim,14,Mirrors,1,7.50%,5045.1,3279.32,378.38,-2900.93,,
SO - 0005167,In-Store,2020-01-22,2020-02-08,2020-02-15,USD,9,Joshua Ryan,36,California,CA,72684,232206,Fremont,6,Computers,7,5%,6244.4,5057.96,2185.54,-2872.42,,
SO - 0006135,In-Store,2020-05-17,2020-05-27,2020-05-31,USD,7,Shawn Cook,132,Florida,FL,41422,107762,Pompano Beach,17,Furniture Cushions,7,5%,5681.6,4829.36,1988.56,-2840.8,,
SO - 0007805,Online,2020-11-25,2020-12-15,2020-12-22,USD,19,Nicholas Cunningham,363,Washington,WA,79026,207948,Tacoma,24,Wall Frames,2,5%,3999.9,3239.92,399.99,-2839.93,,
SO - 0005072,Distributor,2020-01-11,2020-02-03,2020-02-13,USD,24,Roy Rice,174,Illinois,IL,69780,173110,Rockford (Township),4,Serveware,1,0.05,3979.8,3024.65,198.99,-2825.66,,
SO - 0006098,Wholesale,2020-05-13,2020-05-25,2020-05-26,USD,26,Donald Reynolds,140,Georgia,GA,185820,463878,Atlanta,34,Bedroom Furniture,1,15%,3973.1,3377.14,595.97,-2781.17,,
SO - 0005198,Online,2020-01-26,2020-02-12,2020-02-13,USD,19,Nicholas Cunningham,340,Texas,TX,488645,1469845,San Antonio,5,Bathroom Furniture,1,10%,5668.2,3344.24,566.82,-2777.42,,
SO - 0007176,Online,2020-09-16,2020-10-14,2020-10-23,USD,13,Todd Roberts,43,California,CA,36667,111666,Inglewood,34,Bedroom Furniture,4,5%,5125.5,3792.87,1025.1,-2767.77,,
SO - 0005176,Online,2020-01-23,2020-02-13,2020-02-20,USD,14,Paul Holmes,32,California,CA,30752,116732,El Monte,38,Wardrobes,1,5%,3819,2940.63,190.95,-2749.68,,
SO - 0006978,In-Store,2020-08-23,2020-09-18,2020-09-24,USD,2,Keith Griffin,103,Connecticut,CT,50367,147629,Bridgeport,19,Vanities,1,10%,5480.6,3288.36,548.06,-2740.3,,
SO - 0007715,In-Store,2020-11-16,2020-11-23,2020-11-24,USD,11,Joshua Little,139,Georgia,GA,45389,123912,Athens,30,Wall Coverings,3,5%,6224.3,3672.34,933.65,-2738.69,,
SO - 0007372,Distributor,2020-10-08,2020-10-16,2020-10-24,USD,24,Roy Rice,81,California,CA,55094,151754,Sunnyvale,12,Dining Furniture,1,0.15,5266.2,3528.35,789.93,-2738.42,,
SO - 0006924,In-Store,2020-08-17,2020-08-23,2020-08-30,USD,7,Shawn Cook,82,California,CA,32835,112011,Temecula,26,Candles,5,5%,5802.2,4177.58,1450.55,-2727.03,,
SO - 0006968,In-Store,2020-08-22,2020-08-31,2020-09-08,USD,9,Joshua Ryan,72,California,CA,314297,1026908,San Jose,47,Audio,2,7.50%,3999.9,3319.92,599.99,-2719.93,,
SO - 0006927,Wholesale,2020-08-17,2020-08-30,2020-09-08,USD,27,Shawn Torres,315,Texas,TX,114817,324074,Corpus Christi,27,Wreaths,1,7.50%,5098.7,3059.22,382.4,-2676.82,,
SO - 0007125,Online,2020-09-10,2020-09-20,2020-09-26,USD,16,Anthony Berry,302,Tennessee,TN,51776,149176,Clarksville,11,Ornaments,1,20%,6224.3,3921.31,1244.86,-2676.45,,
SO - 0006799,Online,2020-07-31,2020-08-27,2020-09-05,USD,12,Carl Nguyen,135,Florida,FL,105443,257083,St. Petersburg,16,Stemware,1,7.50%,3497.4,2937.82,262.31,-2675.51,,
SO - 0006083,Online,2020-05-10,2020-05-13,2020-05-15,USD,17,Frank Brown,264,New York,NY,69000,204398,Huntington,13,Bakeware,3,10%,6365,4582.8,1909.5,-2673.3,,
SO - 0007404,Online,2020-10-11,2020-11-08,2020-11-18,USD,19,Nicholas Cunningham,265,New York,NY,101387,336113,Islip,21,Floral,3,5%,5936.2,3561.72,890.43,-2671.29,,
SO - 0006505,Distributor,2020-06-29,2020-07-14,2020-07-24,USD,21,Samuel Fowler,28,California,CA,32738,114219,Downey,21,Floral,2,7.50%,3859.2,3241.73,578.88,-2662.85,,
SO - 0006955,Online,2020-08-20,2020-09-16,2020-09-23,USD,12,Carl Nguyen,340,Texas,TX,488645,1469845,San Antonio,4,Serveware,2,15%,6452.1,4580.99,1935.63,-2645.36,,
SO - 0006970,Online,2020-08-22,2020-09-11,2020-09-12,USD,14,Paul Holmes,342,Texas,TX,37644,103700,Tyler,12,Dining Furniture,3,5%,3879.3,3219.82,581.9,-2637.92,,
SO - 0006453,Distributor,2020-06-22,2020-06-30,2020-07-08,USD,25,Patrick Graham,42,California,CA,74460,201899,Huntington Beach,47,Audio,5,7.50%,5755.3,4776.9,2158.24,-2618.66,,
SO - 0005488,In-Store,2020-02-27,2020-02-29,2020-03-09,USD,1,Adam Hernandez,268,New York,NY,76523,230614,North Hempstead,25,TV and video,3,7.50%,6465.5,4073.27,1454.74,-2618.53,,
SO - 0007153,Wholesale,2020-09-14,2020-10-05,2020-10-08,USD,26,Donald Reynolds,118,Florida,FL,33707,100882,Davie,27,Wreaths,1,15%,4013.3,3210.64,602,-2608.65,,
SO - 0005608,In-Store,2020-03-14,2020-03-23,2020-03-25,USD,4,Chris Armstrong,360,Washington,WA,37994,100242,Renton,34,Bedroom Furniture,2,5%,5654.8,3166.69,565.48,-2601.21,,
SO - 0007358,Wholesale,2020-10-06,2020-10-24,2020-10-30,USD,26,Donald Reynolds,173,Illinois,IL,58559,148278,Rockford,7,Dinnerware,2,5%,3705.1,2964.08,370.51,-2593.57,,
SO - 0007289,Online,2020-09-28,2020-10-21,2020-10-29,USD,17,Frank Brown,219,Minnesota,MN,168385,410939,Minneapolis,23,Accessories,2,5%,3986.5,2989.88,398.65,-2591.23,,
SO - 0007545,Distributor,2020-10-28,2020-11-17,2020-11-26,USD,23,Douglas Tucker,172,Illinois,IL,54255,151772,Proviso,34,Bedroom Furniture,1,7.50%,5333.2,2986.59,399.99,-2586.6,,
SO - 0007429,Online,2020-10-15,2020-10-22,2020-10-31,USD,13,Todd Roberts,11,Arizona,AZ,525610,1563025,Phoenix,33,Outdoor Decor,2,5%,3966.4,2974.8,396.64,-2578.16,,
SO - 0006757,Wholesale,2020-07-26,2020-08-11,2020-08-16,USD,27,Shawn Torres,36,California,CA,72684,232206,Fremont,12,Dining Furniture,1,7.50%,3819,2864.25,286.43,-2577.83,,
SO - 0007207,Online,2020-09-19,2020-09-22,2020-09-29,USD,18,Shawn Wallace,27,California,CA,31137,106562,Daly City,45,Home Fragrances,1,10%,3953,2964.75,395.3,-2569.45,,
SO - 0005386,Distributor,2020-02-18,2020-03-14,2020-03-16,USD,20,Anthony Torres,241,New Hampshire,NH,45145,110229,Manchester,32,Vases,1,5%,3879.3,2754.3,193.97,-2560.34,,
SO - 0005900,Online,2020-04-18,2020-04-25,2020-04-28,USD,12,Carl Nguyen,21,California,CA,42791,113453,Carlsbad,41,Collectibles,1,5%,5936.2,2849.38,296.81,-2552.57,,
SO - 0006002,In-Store,2020-04-30,2020-05-25,2020-05-27,USD,9,Joshua Ryan,201,Louisiana,LA,88476,228590,Baton Rouge,29,Pendants,4,5%,3979.8,3343.03,795.96,-2547.07,,
SO - 0006338,Online,2020-06-07,2020-07-03,2020-07-10,USD,20,Anthony Torres,298,South Carolina,SC,44506,133803,Columbia,6,Computers,1,15%,3979.8,3144.04,596.97,-2547.07,,
SO - 0006077,Wholesale,2020-05-10,2020-05-15,2020-05-20,USD,27,Shawn Torres,280,Ohio,OH,167100,388072,Cleveland,18,Basketball,5,5%,5038.4,3778.8,1259.6,-2519.2,,
SO - 0007138,Wholesale,2020-09-12,2020-09-30,2020-10-04,USD,25,Patrick Graham,299,South Carolina,SC,37597,108304,North Charleston,8,Cocktail Glasses,5,5%,6143.9,4054.97,1535.98,-2519,,
SO - 0005957,Wholesale,2020-04-25,2020-04-30,2020-05-03,USD,27,Shawn Torres,193,Indiana,IN,52540,142010,Wayne,10,Blankets,1,5%,3986.5,2710.82,199.33,-2511.5,,
SO - 0005599,Online,2020-03-12,2020-03-27,2020-04-01,USD,17,Frank Brown,225,Missouri,MO,71268,166810,Springfield,30,Wall Coverings,6,5%,5567.7,4175.78,1670.31,-2505.47,,
SO - 0005866,In-Store,2020-04-14,2020-05-07,2020-05-11,USD,1,Adam Hernandez,230,North Carolina,NC,305488,827097,Charlotte,32,Vases,2,5%,5313.1,3028.47,531.31,-2497.16,,
SO - 0006741,Distributor,2020-07-25,2020-08-16,2020-08-23,USD,21,Samuel Fowler,161,Illinois,IL,46895,147861,Joliet,32,Vases,2,5%,5165.7,2996.11,516.57,-2479.54,,
SO - 0005762,In-Store,2020-04-02,2020-04-29,2020-05-04,USD,12,Carl Nguyen,132,Florida,FL,41422,107762,Pompano Beach,32,Vases,2,5%,3865.9,2860.77,386.59,-2474.18,,
SO - 0006695,Online,2020-07-19,2020-08-04,2020-08-13,USD,16,Anthony Berry,338,Texas,TX,35580,115997,Round Rock,19,Vanities,2,7.50%,3926.2,3062.44,588.93,-2473.51,,
SO - 0005261,In-Store,2020-02-03,2020-03-01,2020-03-07,USD,7,Shawn Cook,143,Georgia,GA,57025,153515,Macon,41,Collectibles,5,7.50%,6237.7,4803.03,2339.14,-2463.89,,
SO - 0006025,Online,2020-05-03,2020-05-28,2020-06-03,USD,19,Nicholas Cunningham,37,California,CA,161914,520052,Fresno,16,Stemware,1,5%,3222.7,2610.39,161.14,-2449.25,,
SO - 0005532,In-Store,2020-03-04,2020-03-14,2020-03-21,USD,11,Joshua Little,48,California,CA,1342761,3971883,Los Angeles,1,Cookware,1,10%,3256.2,2767.77,325.62,-2442.15,,
SO - 0004988,In-Store,2020-01-04,2020-01-27,2020-02-06,USD,3,Jerry Green,67,California,CA,40892,157380,Salinas,4,Serveware,1,10%,5936.2,3027.46,593.62,-2433.84,,
SO - 0005544,Distributor,2020-03-05,2020-03-28,2020-04-04,USD,25,Patrick Graham,14,Arizona,AZ,64810,175826,Tempe,28,Phones,7,5%,5788.8,4457.38,2026.08,-2431.3,,
