OrderNumber;Sales Channel;OrderDate;ShipDate;DeliveryDate;CurrencyCode;_SalesTeamID;salesteam name;_StoreID;StateName;statecode;household income;population;City Name;_ProductID;Order Quantity;Discount Applied;Unit Price;Unit Cost
SO - 0005097;Distributor;14/01/2020;25/01/2020;04/02/2020;USD;22;Joe Price;4;Alabama;AL;79866;200.602;Montgomery;1;1;7,5%;2.505,80;1.954,52
SO - 0005241;Online;31/01/2020;13/02/2020;22/02/2020;USD;20;Anthony Torres;67;California;CA;40892;157.380;Salinas;1;1;20%;214,40;124,35
SO - 0005532;In-Store;04/03/2020;14/03/2020;21/03/2020;USD;11;Joshua Little;48;California;CA;1342761;3.971.883;Los Angeles;1;1;10%;3.256,20;2.767,77
SO - 0005571;In-Store;09/03/2020;01/04/2020;06/04/2020;USD;1;Adam Hernandez;267;New York;NY;3113535;8.550.405;New York City;1;1;20%;1.112,20;556,10
SO - 0004967;In-Store;01/01/2020;15/01/2020;23/01/2020;USD;5;Stephen Payne;2;Alabama;AL;78554;190.582;Huntsville;7;3;5%;3.845,80;2.230,56
SO - 0004968;Wholesale;01/01/2020;24/01/2020;30/01/2020;USD;26;Donald Reynolds;231;North Carolina;NC;100513;257.636;Durham;46;2;10%;1.078,70;431,48
SO - 0004969;In-Store;01/01/2020;06/01/2020;14/01/2020;USD;3;Jerry Green;169;Illinois;IL;42938;114.057;Palatine (Township);16;3;10%;1.045,20;480,79
SO - 0004970;In-Store;01/01/2020;23/01/2020;28/01/2020;USD;4;Chris Armstrong;290;Oregon;OR;35284;102.347;Hillsboro;44;1;5%;268,00;123,28
SO - 0004971;In-Store;02/01/2020;10/01/2020;17/01/2020;USD;5;Stephen Payne;192;Indiana;IN;41596;106.185;Wayne;25;7;7,5%;1.802,30;1.153,47
SO - 0004972;Distributor;02/01/2020;21/01/2020;31/01/2020;USD;21;Samuel Fowler;221;Minnesota;MN;112988;300.851;St. Paul;18;2;10%;1.025,10;830,33
SO - 0004973;Online;02/01/2020;12/01/2020;21/01/2020;USD;13;Todd Roberts;80;California;CA;92440;305.658;Stockton;36;1;10%;2.579,50;1.031,80
SO - 0004974;Distributor;02/01/2020;16/01/2020;26/01/2020;USD;24;Roy Rice;271;New York;NY;34566;135.257;Ramapo;2;7;5%;6.257,80;2.816,01
SO - 0004975;Wholesale;02/01/2020;20/01/2020;29/01/2020;USD;27;Shawn Torres;94;Colorado;CO;174441;456.568;Colorado Springs;19;5;7,5%;5.333,20;4.426,56
SO - 0004976;Distributor;02/01/2020;14/01/2020;21/01/2020;USD;20;Anthony Torres;328;Texas;TX;90433;249.042;Lubbock;22;8;15%;1.675,00;1.155,75
SO - 0004977;Online;02/01/2020;12/01/2020;13/01/2020;USD;19;Nicholas Cunningham;37;California;CA;161914;520.052;Fresno;34;1;10%;1.139,00;466,99
SO - 0004978;Distributor;02/01/2020;18/01/2020;21/01/2020;USD;24;Roy Rice;24;California;CA;45409;128.667;Concord;37;3;7,5%;1.011,70;667,72
SO - 0004979;In-Store;03/01/2020;31/01/2020;07/02/2020;USD;3;Jerry Green;219;Minnesota;MN;168385;410.939;Minneapolis;20;4;7,5%;174,20;90,58
SO - 0004980;In-Store;03/01/2020;15/01/2020;18/01/2020;USD;8;George Lewis;57;California;CA;50815;207.254;Oxnard;38;3;20%;1.775,50;710,20
SO - 0004981;In-Store;03/01/2020;19/01/2020;21/01/2020;USD;8;George Lewis;265;New York;NY;101387;336.113;Islip;36;1;5%;1.065,30;522,00
SO - 0004982;In-Store;03/01/2020;24/01/2020;01/02/2020;USD;7;Shawn Cook;90;Colorado;CO;44615;115.368;Arvada;33;3;5%;6.123,80;4.041,71
SO - 0004983;In-Store;03/01/2020;15/01/2020;23/01/2020;USD;12;Carl Nguyen;67;California;CA;40892;157.380;Salinas;41;6;7,5%;2.452,20;1.986,28
SO - 0004984;Wholesale;03/01/2020;14/01/2020;16/01/2020;USD;28;Carlos Miller;103;Connecticut;CT;50367;147.629;Bridgeport;5;5;10%;3.906,10;2.226,48
SO - 0004985;Online;03/01/2020;29/01/2020;04/02/2020;USD;13;Todd Roberts;349;Virginia;VA;66879;153.511;Alexandria;6;5;5%;2.351,70;1.622,67
SO - 0004986;In-Store;03/01/2020;30/01/2020;04/02/2020;USD;3;Jerry Green;358;Washington;WA;42079;108.010;Everett;3;3;5%;991,60;793,28
SO - 0004987;In-Store;03/01/2020;06/01/2020;08/01/2020;USD;5;Stephen Payne;359;Washington;WA;42233;126.952;Kent;33;5;15%;5.226,00;3.240,12
SO - 0004988;In-Store;04/01/2020;27/01/2020;06/02/2020;USD;3;Jerry Green;67;California;CA;40892;157.380;Salinas;4;1;10%;5.936,20;3.027,46
SO - 0004989;In-Store;04/01/2020;20/01/2020;22/01/2020;USD;10;Jonathan Hawkins;229;North Carolina;NC;56034;159.769;Cary;45;8;7,5%;1.051,90;525,95
SO - 0004990;Online;04/01/2020;23/01/2020;26/01/2020;USD;12;Carl Nguyen;26;California;CA;40908;113.204;Costa Mesa;25;5;10%;1.018,40;794,35
SO - 0004991;Online;04/01/2020;31/01/2020;06/02/2020;USD;15;Roger Alexander;224;Missouri;MO;195033;475.378;Kansas City;37;7;5%;3.731,90;2.948,20
SO - 0004992;In-Store;04/01/2020;17/01/2020;21/01/2020;USD;7;Shawn Cook;293;Pennsylvania;PA;41244;120.207;Allentown;34;2;10%;3.276,30;2.588,28
SO - 0004993;Online;05/01/2020;26/01/2020;27/01/2020;USD;17;Frank Brown;179;Illinois;IL;56788;152.861;Worth (Township);31;7;40%;1.105,50;718,58
